customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
100001,56,Female,North,Graduate,Salaried,94913.86,7438.84,Home,671,6,34,8.78,09:52.3,0
100002,69,Male,South,Graduate,Salaried,30853.63,37162.28,Home,682,12,288,11.25,09:52.3,1
100003,46,Female,South,Secondary,Salaried,57234.09,8660.35,Business,590,3,255,5.67,09:52.3,0
100004,32,Other,East,Graduate,Salaried,48368.82,51526.04,Car,740,0,126,87.19,09:52.3,0
100005,60,Male,North,Secondary,Salaried,75061.14,34934.58,Education,671,7,209,41.75,09:52.3,0
100006,25,Male,South,Graduate,Self-Employed,74456.89,25570.66,Other,708,9,134,47.17,09:52.3,0
100007,38,Male,North,Secondary,Salaried,37484.51,50661.32,Education,623,6,86,81.08,09:52.3,1
100008,56,Female,South,Primary,Salaried,76454.8,40473.16,Car,719,7,75,59.83,09:52.3,0
100009,36,Female,North,Secondary,Salaried,50487.77,30529.25,Home,620,9,135,59.86,09:52.3,0
100010,40,Male,West,Primary,Salaried,39580.07,2948.3,Business,588,0,173,31.69,09:52.3,1
100011,28,Female,East,Secondary,Salaried,59705.47,14477.59,Car,774,4,213,80.05,09:52.3,0
100012,28,Male,North,Primary,Unemployed,23078.9,41281.14,Car,484,8,19,19.92,09:52.3,1
100013,41,Male,West,Primary,Self-Employed,83282.66,5498.11,Other,850,4,119,9.78,09:52.3,0
100014,53,Female,North,Post-Graduate,Unemployed,58609.48,13514.15,Education,699,12,285,22.24,09:52.3,0
100015,57,Male,North,Post-Graduate,Self-Employed,59156.36,9668.53,Education,628,9,227,29.1,09:52.3,0
100016,41,Female,West,Secondary,Salaried,57820.83,31035.35,Other,673,11,212,30.41,09:52.3,0
100017,20,Male,North,Post-Graduate,Salaried,101171.25,39454.18,Business,699,2,189,65.35,09:52.3,0
100018,39,Other,North,Primary,Salaried,97971.94,39468.98,Home,627,8,151,24.6,09:52.3,0
100019,19,Male,East,Graduate,Salaried,93769.03,12207.71,Home,792,12,223,65.9,09:52.3,0
100020,41,Male,West,Graduate,Unemployed,57873.96,30829.88,Business,753,8,128,13.2,09:52.3,0
100021,61,Female,West,Secondary,Salaried,32109.38,11501.76,Other,841,3,248,18.25,09:52.3,0
100022,47,Male,South,Secondary,Self-Employed,59600.51,21841.77,Car,564,3,51,50.79,09:52.3,0
100023,55,Other,North,Secondary,Salaried,67860.01,32802.52,Education,665,10,191,87.97,09:52.3,1
100024,19,Female,East,Secondary,Self-Employed,80315.26,40920.63,Car,553,7,237,82.36,09:52.3,1
100025,38,Female,North,Graduate,Unemployed,67779.57,7240.95,Education,574,6,22,92.19,09:52.3,1
