Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
E1000,Marketing,41,96794,21,35,91,Yes
E1001,Operations,22,44485,22,48,40,No
E1002,Finance,58,109299,10,49,50,No
E1003,Operations,56,21067,24,30,97,Yes
E1004,Operations,57,40607,8,37,82,No
E1005,IT,35,81597,15,46,79,No
E1006,Finance,48,94554,21,50,61,No
E1007,Finance,38,68521,20,51,74,No
E1008,Finance,54,35187,23,44,99,Yes
E1009,Operations,42,23985,22,47,90,Yes
E1010,Marketing,31,63052,4,36,83,No
E1011,Finance,33,39563,2,45,45,No
E1012,Operations,24,67322,24,36,67,No
E1013,IT,42,81245,6,46,70,No
E1014,Marketing,27,71514,3,33,94,No
E1015,IT,44,38608,7,41,47,No
E1016,Marketing,24,87262,10,42,44,No
E1017,Operations,48,112118,23,33,81,Yes
E1018,HR,35,91327,6,50,93,No
E1019,Marketing,21,77225,16,30,87,Yes
E1020,IT,23,93994,2,30,83,No
E1021,Operations,34,37221,24,36,56,No
E1022,Marketing,58,68506,17,38,77,No
E1023,HR,21,40968,13,30,48,No
E1024,HR,58,102606,1,45,49,No
E1025,Finance,58,47937,6,47,59,No
E1026,Finance,41,82435,5,51,53,No
E1027,IT,49,69508,13,44,53,No
E1028,Marketing,25,61831,23,35,65,No
E1029,Marketing,30,62933,18,31,68,No
E1030,Finance,48,67307,12,38,88,Yes
E1031,Marketing,41,68340,7,33,66,No
E1032,Marketing,27,106338,15,42,64,No
E1033,HR,23,63601,3,52,55,No
E1034,Finance,40,95956,16,51,75,No
E1035,Operations,39,92178,1,40,73,No
E1036,Finance,55,105311,16,42,55,No
E1037,Operations,24,48754,24,40,72,No
E1038,HR,25,63310,12,48,42,No
E1039,IT,21,89893,19,37,62,No
E1040,Marketing,24,106799,8,36,50,No
E1041,HR,32,68367,23,54,87,Yes
E1042,Marketing,47,33201,12,45,97,Yes
E1043,IT,43,22739,15,32,57,No
E1044,IT,45,33231,2,46,86,No
E1045,HR,41,62495,17,47,80,No
E1046,IT,44,41168,7,57,83,No
E1047,Operations,45,52624,13,56,68,No
E1048,IT,52,30635,1,44,98,No
E1049,Marketing,52,29964,6,57,89,No
E1050,Marketing,25,47785,13,46,44,No
E1051,Marketing,56,115046,11,40,63,No
E1052,Marketing,59,102797,10,34,68,No
E1053,Operations,36,104790,16,45,68,No
E1054,Finance,53,96928,24,44,99,Yes
E1055,HR,41,32336,23,39,65,No
E1056,Marketing,29,97475,20,43,79,No
E1057,IT,26,47412,17,31,42,No
E1058,Marketing,55,102212,17,45,41,No
E1059,IT,59,95379,4,48,64,No
E1060,IT,42,65591,5,37,58,No
E1061,Marketing,25,81750,23,44,79,No
E1062,Operations,43,110648,14,39,41,No
E1063,IT,37,116134,20,59,58,No
E1064,IT,32,55454,10,34,40,No
E1065,Marketing,43,118537,14,49,66,No
E1066,IT,36,82672,1,45,93,No
E1067,IT,23,47228,11,50,84,Yes
E1068,Marketing,50,34429,23,55,94,Yes
E1069,Marketing,42,104294,18,51,91,Yes
E1070,HR,29,87808,16,41,88,Yes
E1071,Operations,49,102886,18,52,74,No
E1072,Operations,57,73015,8,59,80,No
E1073,IT,43,108074,10,42,44,No
E1074,Operations,33,88936,10,38,77,No
E1075,IT,52,100907,5,46,43,No
E1076,HR,43,77378,10,49,56,No
E1077,Marketing,37,57310,18,57,92,Yes
E1078,Marketing,41,103683,21,41,60,No
E1079,Marketing,22,88827,24,54,92,Yes
E1080,Operations,57,55256,6,34,87,No
E1081,HR,26,96428,3,53,70,No
E1082,Operations,38,119862,8,41,87,No
E1083,Operations,50,58889,9,30,61,No
E1084,HR,42,71428,5,49,50,No
E1085,HR,53,57207,2,57,73,No
E1086,HR,50,70255,2,45,88,No
E1087,HR,37,111531,7,59,54,No
E1088,Marketing,52,25409,17,41,89,Yes
E1089,Finance,34,62438,10,38,49,No
E1090,Finance,30,115359,12,42,77,No
E1091,HR,56,27869,2,46,71,No
E1092,Finance,54,76862,10,46,92,No
E1093,Finance,29,107937,20,33,87,Yes
E1094,HR,48,45958,1,43,70,No
E1095,Finance,31,96302,4,48,76,No
E1096,Operations,34,39768,13,36,83,Yes
E1097,IT,59,116330,12,56,67,No
E1098,IT,39,46145,11,32,70,No
E1099,HR,35,95622,10,30,45,No
E1100,Marketing,48,46442,15,41,53,No
E1101,HR,44,101948,5,44,97,No
E1102,Marketing,28,45596,17,40,62,No
E1103,IT,29,95791,5,39,55,No
E1104,HR,53,62406,2,31,64,No
E1105,Operations,53,60524,9,55,78,No
E1106,Finance,39,43332,6,58,41,No
E1107,Marketing,23,35764,18,33,77,No
E1108,Finance,30,47563,14,46,80,No
E1109,Finance,21,107675,19,46,78,No
E1110,HR,49,56370,14,57,73,No
E1111,Finance,54,25062,8,59,90,No
E1112,Operations,33,64645,17,37,79,No
E1113,Finance,21,27244,3,52,82,No
E1114,HR,54,26372,10,43,64,No
E1115,Operations,49,105501,17,53,75,No
E1116,IT,33,84471,11,58,55,No
E1117,Finance,49,36956,8,33,96,No
E1118,HR,59,60473,1,35,57,No
E1119,IT,44,33894,13,58,52,No
E1120,IT,46,118918,21,48,98,Yes
E1121,Marketing,37,89586,4,56,76,No
E1122,Operations,27,36709,7,58,66,No
E1123,Finance,33,101258,14,53,73,No
E1124,HR,25,35210,5,33,50,No
E1125,Marketing,46,69510,24,32,40,No
E1126,Operations,23,58674,11,49,52,No
E1127,Marketing,27,37733,17,35,69,No
E1128,Operations,59,40080,5,56,44,No
E1129,Operations,21,73412,20,52,57,No
E1130,Finance,37,78971,3,36,53,No
E1131,Operations,45,59709,5,43,52,No
E1132,Marketing,23,79846,15,41,71,No
E1133,Operations,35,85480,19,45,46,No
E1134,Finance,49,72960,16,49,47,No
E1135,Finance,52,61152,8,37,89,No
E1136,Marketing,46,47250,13,52,46,No
E1137,IT,36,105765,16,31,91,Yes
E1138,IT,45,68137,3,42,88,No
E1139,Operations,48,102011,1,37,55,No
E1140,HR,29,66412,9,54,82,No
E1141,Operations,21,63876,9,50,70,No
E1142,Marketing,49,114547,22,49,90,Yes
E1143,Marketing,42,93664,17,45,66,No
E1144,Marketing,36,70227,24,33,99,Yes
E1145,Marketing,27,52450,2,58,72,No
E1146,Marketing,34,104433,9,45,92,No
E1147,Finance,49,93704,24,49,68,No
E1148,IT,39,26861,19,35,47,No
E1149,Marketing,39,81914,13,56,72,No
E1150,HR,22,83888,5,33,80,No
E1151,HR,35,99286,9,45,58,No
E1152,HR,23,81293,13,52,60,No
E1153,HR,31,102524,1,52,80,No
E1154,Finance,50,88515,15,50,60,No
E1155,HR,38,43524,4,42,64,No
E1156,Marketing,22,27065,4,34,81,No
E1157,Operations,52,57684,20,44,95,Yes
E1158,HR,28,108720,10,55,62,No
E1159,Finance,42,53365,6,37,50,No
E1160,Finance,26,78876,24,36,72,No
E1161,HR,32,43704,12,43,59,No
E1162,Operations,56,77857,20,36,64,No
E1163,HR,35,25622,16,51,65,No
E1164,Finance,48,103797,3,36,79,No
E1165,IT,38,113955,14,52,91,Yes
E1166,Marketing,22,111141,1,55,51,No
E1167,Finance,33,114707,10,59,71,No
E1168,HR,35,107700,15,47,72,No
E1169,Marketing,40,99332,7,59,49,No
E1170,HR,49,116856,4,39,43,No
E1171,HR,49,86201,14,47,54,No
E1172,IT,23,52694,24,43,90,Yes
E1173,Marketing,39,109766,16,39,45,No
E1174,Marketing,23,42995,14,36,66,No
E1175,IT,34,112320,3,59,44,No
E1176,Finance,24,100141,17,55,44,No
E1177,HR,31,102999,21,36,57,No
E1178,Operations,51,28419,14,36,67,No
E1179,HR,52,67952,18,34,74,No
E1180,HR,47,53837,3,30,98,No
E1181,Finance,50,90799,22,43,61,No
E1182,HR,22,68877,19,47,73,No
E1183,IT,29,65687,3,42,43,No
E1184,IT,48,119667,12,54,57,No
E1185,Marketing,51,57276,22,37,80,No
E1186,Operations,54,54523,5,37,90,No
E1187,HR,35,86055,10,39,65,No
E1188,HR,45,74615,9,46,81,No
E1189,Finance,56,116642,1,35,61,No
E1190,IT,28,30514,13,44,86,Yes
E1191,Operations,29,67456,3,44,72,No
E1192,Marketing,57,27233,19,54,82,Yes
E1193,IT,59,21102,11,45,53,No
E1194,Marketing,52,86133,16,37,70,No
E1195,Finance,37,66715,6,48,49,No
E1196,Finance,55,105193,24,49,90,Yes
E1197,HR,57,26256,3,44,63,No
E1198,Operations,39,84800,19,32,60,No
E1199,Marketing,49,114937,6,35,87,No
E1200,IT,27,61548,8,59,47,No
E1201,Finance,48,92090,22,54,71,No
E1202,HR,29,98200,13,37,70,No
E1203,HR,48,62367,12,45,73,No
E1204,Marketing,26,109922,10,44,62,No
E1205,Finance,49,90382,3,42,64,No
E1206,Operations,37,46205,4,55,46,No
E1207,Finance,36,45570,1,49,58,No
E1208,Marketing,43,50255,13,44,46,No
E1209,Marketing,51,41182,24,47,86,Yes
E1210,Finance,23,59373,4,42,47,No
E1211,Marketing,41,63019,22,53,53,No
E1212,Finance,46,82619,11,37,40,No
E1213,IT,56,36043,19,43,52,No
E1214,Finance,57,65532,11,57,42,No
E1215,Finance,42,85936,12,40,92,Yes
E1216,Marketing,32,39239,11,35,67,No
E1217,Marketing,33,30416,6,59,77,No
E1218,HR,31,23412,12,53,90,Yes
E1219,HR,36,101976,9,54,54,No
E1220,IT,28,44406,10,58,75,No
E1221,HR,22,21875,3,30,92,No
E1222,Finance,50,57066,3,54,42,No
E1223,Marketing,50,25752,20,31,43,No
E1224,HR,32,106753,23,59,44,No
E1225,HR,30,98025,16,42,89,Yes
E1226,IT,31,21353,3,30,65,No
E1227,IT,35,46986,10,53,64,No
E1228,Finance,36,106907,24,53,49,No
E1229,Marketing,37,34691,11,56,47,No
E1230,IT,46,89847,8,33,51,No
E1231,HR,22,68075,6,53,93,No
E1232,Marketing,32,30794,20,52,97,Yes
E1233,Marketing,46,88470,11,58,98,Yes
E1234,HR,43,36406,21,31,42,No
E1235,IT,38,95930,12,50,66,No
E1236,HR,52,46872,16,59,89,Yes
E1237,Marketing,58,61708,18,55,62,No
E1238,Operations,23,40800,13,49,79,No
E1239,Operations,58,63397,22,45,97,Yes
E1240,Finance,23,57909,3,32,72,No
E1241,HR,50,41352,15,46,53,No
E1242,HR,21,113848,22,34,93,Yes
E1243,Finance,50,35438,21,55,62,No
E1244,Finance,52,108921,14,37,70,No
E1245,Finance,48,64999,18,41,52,No
E1246,Marketing,41,38482,14,54,96,Yes
E1247,HR,33,52471,5,52,51,No
E1248,Marketing,47,67279,21,41,74,No
E1249,Finance,56,74213,14,56,57,No
E1250,HR,27,33026,8,30,60,No
E1251,Marketing,42,105184,23,30,84,Yes
E1252,Marketing,30,25435,15,44,86,Yes
E1253,Finance,59,28493,15,46,81,Yes
E1254,HR,35,92227,19,31,40,No
E1255,Finance,35,79321,20,46,77,No
E1256,HR,24,22763,6,49,80,No
E1257,Operations,52,40389,19,55,81,Yes
E1258,IT,43,51498,8,38,86,No
E1259,IT,26,83755,6,41,48,No
E1260,IT,44,55825,20,33,62,No
E1261,Finance,40,36934,23,42,53,No
E1262,Operations,57,25574,15,33,50,No
E1263,HR,40,58179,3,36,46,No
E1264,Marketing,32,21587,10,43,70,No
E1265,HR,53,62782,15,56,63,No
E1266,Marketing,48,74412,24,38,65,No
E1267,HR,28,80561,16,52,69,No
E1268,Operations,21,97224,17,30,73,No
E1269,Marketing,57,24409,19,30,85,Yes
E1270,Finance,42,91319,11,49,77,No
E1271,HR,26,119016,16,33,44,No
E1272,HR,41,46751,5,30,44,No
E1273,Marketing,52,58174,5,51,58,No
E1274,Finance,55,76572,14,39,90,Yes
E1275,Finance,35,81416,18,31,77,No
E1276,Operations,25,32041,8,56,67,No
E1277,Finance,26,43227,5,50,65,No
E1278,Finance,45,55201,7,53,81,No
E1279,Finance,49,56069,16,44,62,No
E1280,IT,27,102190,23,32,85,Yes
E1281,Operations,33,46370,14,54,88,Yes
E1282,HR,58,115018,5,52,69,No
E1283,Marketing,38,31586,24,38,42,No
E1284,HR,22,70231,9,46,67,No
E1285,Operations,28,25322,4,50,72,No
E1286,Marketing,31,85294,4,57,81,No
E1287,Operations,53,99468,16,42,42,No
E1288,Finance,58,49299,24,32,44,No
E1289,Marketing,47,110715,17,33,96,Yes
E1290,Finance,40,90793,15,33,58,No
E1291,HR,32,66501,4,40,81,No
E1292,HR,51,77134,6,57,97,No
E1293,Marketing,47,29777,16,36,96,Yes
E1294,Marketing,52,31249,4,55,87,No
E1295,Operations,30,41390,6,40,40,No
E1296,Operations,23,40369,5,53,77,No
E1297,Finance,47,32881,16,40,48,No
E1298,Marketing,55,29587,16,39,99,Yes
E1299,HR,51,113800,10,34,44,No
E1300,Operations,35,94327,9,42,98,No
E1301,Operations,36,107911,4,58,85,No
E1302,HR,33,108147,14,41,81,Yes
E1303,Operations,55,27833,4,39,73,No
E1304,Finance,31,67013,12,36,76,No
E1305,Marketing,41,83620,24,48,72,No
E1306,HR,31,35754,10,48,64,No
E1307,Marketing,50,98113,4,48,81,No
E1308,Operations,55,116631,18,41,68,No
E1309,Operations,42,106784,13,49,97,Yes
E1310,HR,58,55282,13,51,64,No
E1311,Finance,51,56737,14,44,93,Yes
E1312,IT,34,117427,18,34,98,Yes
E1313,HR,44,44124,1,53,48,No
E1314,IT,52,90102,21,59,42,No
E1315,IT,56,22196,16,43,54,No
E1316,Finance,52,81527,15,41,43,No
E1317,IT,35,116651,22,58,84,Yes
